,Indo,Symbol,Symbol_Name,Description,Voicing,Place_of_Articulation,Manner_of_Articulation,Height,Backness,Rounding,Status,UCS_Code,AFII_Code,,,,
101,p,p,lower-case P,,voiceless,bilabial,plosive,,,,,70,E2A2,,,,
102,b,b,lower-case B,,voiced,bilabial,plosive,,,,,62,E2A3,,,,
103,t,t,lower-case T,,voiceless,dental,alveolar,plosive,,,,,74,E2B0,,,
104,d,d,lower-case D,,voiced,dental,alveolar,plosive,,,,,64,E2B1,,,
105,Nan,ʈ,right-tail T,,voiceless,retroflex,plosive,,,,,288,E2C7,,,,
106,Nan,ɖ,right-tail D,,voiced,retroflex,plosive,,,,,256,E2C8,,,,
107,c,tʃ,,,,,,,,,,,,,,,
107,,c,lower-case C,,voiceless,palatal,plosive,,,,,63,E2D8,,,,
108,,ɟ,barred dotless J,,voiced,palatal,plosive,,,,,025F,E2D9,,,,
109,q,k,,,,,,,,,,,,,,,
109,k,k,lower-case K,,voiceless,velar,plosive,,,,,006B,E2DE,,,,
110,ɡ,ɡ,opentail G,,voiced,velar,plosive,,,,equivalent to 210,261,E2DF,,,,
110,g,g,,,,,,,,,,,,,,,
111,,q,lower-case Q,,voiceless,uvular,plosive,,,,,71,E2E6,,,,
112,,ɢ,small capital G,,voiced,uvular,plosive,,,,,262,E2E7,,,,
113,,ʔ,glottal stop,,,glottal,plosive,,,,,294,E2ED,,,,
114,m,m,lower-case M,,voiced,bilabial,nasal,,,,,006D,E2A1,,,,
115,,ɱ,left-tail M (at right),,voiced,labiodental,nasal,,,,,271,E2AB,,,,
116,n,n,lower-case N,,voiced,dental,alveolar,nasal,,,,,006E,E2AF,,,
117,Nan,ɳ,right-tail N,,voiced,retroflex,nasal,,,,,273,E2C6,,,,
118,,ɲ,left-tail N (at left),,voiced,palatal,nasal,,,,,272,E2D7,,,,
119,ng,ŋ,eng,,voiced,velar,nasal,,,,,014B,E2DD,,,,
120,,ɴ,small capital N,,voiced,uvular,nasal,,,,,274,E2E4,,,,
